SMILES,ODOR
CCCCCCCCCC(O)=O,"citrus,fat,rancid,sour,unpleasant"
CCCCCCCCCCO,"fat,floral,fruit,rose,sweet,wax"
CCCCCCCC(=O)CC,"citrus,fat,floral,fruit,green,orange,wax"
CCCCCCC\C=C\C=O,"aldehydic,citrus,coriander,earth,fat,floral,green,meat,mushroom,oil,orange,tallow,wax"
CCC\C=C\C=C\CCCO,"citrus,green,must,orange"
CCCCCCCC(O)C=C,"cheese,citrus,earth,fat,floral,fruit,fungal,green,herb,meat,mushroom,nut,other,spice,vegetable,wax,wine,wood"
CCCCCC/C=C/C(C)=O,"apple,citrus,earth,fat,fruit,green,jasmine,meat,pear,vegetable,wax"
CCCCCCCCCCOC(C)=O,"oil,orange,pineapple,rose,wax"
CCCCCCCCCCOC(=O)CCC,"citrus,fat,fruit,rose,sweet,wax"
CCCCCCCCCCOC(=O)CC,"cognac,ether,ethereal,fat,fruit,rum"
CC(=O)OCC(CO)OC(C)=O,ethereal
C1CCC(CC1)SSC2CCCCC2,"alliaceous,berry,clam,coffee,crab,earth,egg,fruit,garlic,green,must,nut,onion,skin"
CCOC(=O)CC(C(=O)OCC)O,"brown,brown sugar,caramel,fruit,herb,sugar,sweet,wine"
CCOC(=O)\C=C/C(=O)OCC,"banana,citrus,fruit"
CCOC(=O)CC(=O)OCC,"apple,balsam,fruit,green,sweet"
CCc1ncc(C)nc1CC,"citrus,earth,fat,floral,fruit,green,hazelnut,herb,meat,must,nut,other,potato,roast,roasted,spice,vegetable,wine,wood"
CCc1nccnc1CC,"earth,green,hazelnut,meat,nut,pepper,raw"
CCOC(=O)CCCCCCCCC(=O)OCC,"citrus,fruit,melon,quince"
CCOC(=O)CCC(=O)OCC,"apple,apricot,chocolate,cranberry,earth,ether,floral,fruit,grape,must,peach,pear,wax,wine"
CCOC(=O)C(O)C(O)C(=O)OCC,"earth,fruit,must,wine"
CC1CCC(CC1=O)C(C)=C,"herb,mint,powerful,spearmint,warm"
O=C1CCc2ccccc2O1,"almond,coconut,cream,herb,nut,sweet,tobacco,tonka,vanilla"
CC(=O)CCC1=C(C)CCCC1(C)C,wood
CCCCCC1=C(C)CCC1=O,"floral,fruit,green"
O=C1CCSC1,"alliaceous,butter,clam,fat,garlic,green,meat,onion,vegetable"
COc1ccc(cc1OC)C(C)=O,"floral,sweet,wood"
COc1ccccc1OC,"cream,fat,must,phenol,sweet,vanilla"
COc1cccc(OC)c1,"acid,coconut,earth,fruit,hazelnut,medicine,neroli,nutmeg"
COc1ccc(OC)cc1,"fat,fennel,green,herb,nut,tobacco,warm"
COc1cccc(OC)c1O,"meat,medicine,phenol,smoke"
CC(=O)c1ccc(C)cc1C,"floral,mimosa,mint,sweet,wood"
CNc1ccccc1C(=O)OC,"blossom,citrus,floral,fruit,grape,orange"
Cc1ccc(C=O)c(C)c1,"almond,cherry,fruit,naphthyl,nut,spice,sweet,vanilla"
Cc1cccc(C)c1[S-],"meat,metallic,phenol,roasted,sulfur"
CC1CC(=O)C(=O)C1C,"anise,caramel,herb"
CC1CC(C)C(=O)C1=O,"caramel,coffee,maple,sweet"
CSSC,"cabbage,onion,putrid,sulfur,vegetable"
CC(C)CC(=O)CC(C)C,"banana,ethereal,fruit,green,metallic,pineapple,vanilla"
CC(CCC=C(C)C)C=O,"cantaloupe,cucumber,fruit,grapefruit,green,lemon,melon,ozone,peach,sweet,vegetable,watermelon"
CC1OC(=O)C(=C1C)O,"caramel,celery,cotton candy,earth,green,maple,meat,nut,roasted crude sugar,seed,smoke,spice,sweet,tobacco"
COC1=C(C)OC(C)C1=O,"caramel,coffee,fruit,grape,maple,meat,mildew,mold,moss,mushroom,must,nut,potato,sweet"
CC(C)CCCC(C)CCO,"floral,rose,sweet,wax"
CC(=O)OC(C)(C)Cc1ccccc1,"floral,fruit,pear"
CCCC(=O)OC(C)(C)Cc1ccccc1,"floral,herb,plum"
Cc1nccnc1C,"almond,butter,caramel,cocoa,coffee,green,leather,meat,nut,peanut,peanut butter,walnut"
Cc1cnc(C)cn1,"beef,chocolate,cocoa,coffee,grass,meat,medicine,nut,roast,roast beef,roasted,roasted nut,wood"
Cc1cncc(C)n1,"beef,chocolate,cocoa,coffee,meat,nut,roast,roast beef,roasted,roasted nut"
COC(=O)CCC(=O)OC,"floral,fruit,green,sweet"
Cc1scc(C)n1,"barley,beef,coffee,meat,mold,roasted,rubber,tea"
Cc1scnc1C,"boiled,fish,green,meat,nut,roast,roasted,shrimp,smoke"
CSSSC,"alliaceous,cabbage,cooked,fish,garlic,meat,onion,savory,sulfur"
O(c1ccccc1)c2ccccc2,"geranium,green,phenol"
O=C(Cc1ccccc1)Cc2ccccc2,"chemical,plastic,powdery,seed"
C1CSCCS1,"alliaceous,fish,garlic,onion,pyridine,seafood,solvent,sulfur"
CCCCCCCCC\C=C\C=O,"citrus,fat,green,herb,orange,sweet"
CC1OC(=C(O)C1=O)C,"almond,caramel,coffee,cooked pineapple,grape,jam,meat,strawberry,sweet"
CCCCCCCCCCCC=O,"aldehydic,citrus,fat,floral,green,herb,lily,sweet,wax"
COc1ccc(C=O)cc1OC,"balsam,caramel,cherry,citrus,cream,fat,fruit,mint,sweet,vanilla,wood"
CCCCCC1CCCC(=O)O1,"apricot,butter,coconut,cream,fat,fruit,nut,peach,plum,sweet"
CCCCCCCC1CCCC(=O)O1,"butter,cheese,coconut,cream,fruit,oil,peach,sweet,tropical"
CCCCCCC1CCC(=O)O1,"fat,fruit,peach"
CCCCCCCCC1CCC(=O)O1,"fat,floral,fruit,must,sweet"
CCc1cnccn1,"butter,cocoa,must,nut,peanut,peanut butter,roasted,wood"
CC1(C)[C@H]2CC[C@](C)(C2)C1=O,"camphor,sweet,vanilla"
CCOc1ccc(C=O)cc1,"anisic,floral,spice,sweet"
CCOc1sccn1,"burnt,meat,must,nut,phenol,roasted,vegetable"
CCOC(C)=O,"anise,balsam,brandy,ether,ethereal,fruit,pineapple"
CCOC(=O)CC(C)=O,"ether,ethereal,fruit,rum,sweet"
CCOC(=O)C=C,"fruit,plastic"
CCOC(=O)c1ccccc1N,"blossom,floral,fruit,grape,sweet"
CCc1ccc(C=O)cc1,"almond,bitter,fruit,sweet"
CCOC(=O)c1ccccc1,"anise,balsam,banana,berry,celery,chamomile,cherry,cranberry,floral,fruit,grape,mint,plum,raspberry,spice,strawberry,vanilla"
CCOC(=O)\C=C\C,"alliaceous,caramel,chemical,diffusive,ethereal,pungent,rum,sweet"
CCC(CC)COC(C)=O,"apricot,banana,citrus,earth,ethereal,fat,fruit,must,oil,peach,sweet"
CCCC(=O)OCC,"apple,banana,berry,cognac,ethereal,fruit,pineapple,sweet"
CCC(CC)C(O)=O,"acid,berry,caramel,sour"
CCOC(=O)C1C(C=C(C)C)C1(C)C,"chrysanthemum,ether,ethereal,floral,fruit,herb,sweet,wine"
CCOC(=O)\C=C\c1ccccc1,"balsam,cinnamic,honey,plum,spice,sweet"
CCOC(=O)CCC1CCCCC1,"fruit,peach,pear,pineapple,powerful,sweet"
CCCCC\C=C/C=C/C(=O)OCC,"apple,cream,fat,green,pear,wax"
CCCCCCCCCC(=O)OCC,"fat,fruit,grape,oil,pear,wax"
CCCCCCC/C=C/C(=O)OCC,"apple,fat,fruit,green,pear,wax"
O=C1CCCCCCCCCCCC(=O)OCCO1,"musk,must,sweet"
CCC1(O)C(C)(C)C2CCC1(C)C2,"berry,earth,lime,vanilla"
CCOC=O,"ethereal,fruit,pungent,sweet"
CCc1occc1,"burnt,chemical,coffee,earth,ether,ethereal,malt,sweet"
CCOC(=O)CCc1occc1,"fruit,green,pineapple"
CCOC(=O)CCSCc1occc1,"alliaceous,animal,coffee,garlic,meat,onion,sulfur,vegetable"
CCOC(=O)c1occc1,"balsam,ethyl benzoate,floral,fruit,plum"
CCc1ccc(O)c(OC)c1,"clove,meat,smoke,spice"
CCCCCCC(=O)OCC,"berry,brandy,citrus,fruit,melon,peach,pineapple,plum,wine"
CCCCCC(=O)OCC,"apple,apple peel,banana,brandy,fruit,pineapple,wine"
CCCCC(CC)CO,"citrus,floral,fresh,green,oil,rose,sweet"
CCOC(=O)C\C=C\CC,"fresh,fruit,green,metallic,pineapple,sweet"
CCOC(=O)CC(C)O,"fruit,grape,marshmallow,sweet"
CCCCC(O)C(=O)OCC,"fruit,green"
CCCC(O)CC(=O)OCC,"citrus,fresh,fruit,grape,pineapple,smoke"
CCC1OC(=O)C(=C1C)O,"caramel,fruit,maple,spice,sweet"
CCC1OC(=C(O)C1=O)C,"balsam,butterscotch,candy,caramel,fruit,sweet"
CCOC(=O)C(C)C,"alcohol,citrus,ethereal,fruit,fusel,rubber,rum,strawberry,sweet"
CCOC(=O)CC(C)C,"apple,fruit"
CCOC(=O)C(C)O,"butter,fruit"
CCCCCCCCCCCC(=O)OCC,"floral,fruit,green,leaf,wax"
CCOC(=O)CCC(C)=O,"apple,ethereal,fruit,green,pineapple,sweet"
CCC1=C(C(=O)C=CO1)O,"balsam,caramel"
CCOC(=O)C(C)S,"alliaceous,garlic,grape,green,meat,onion,sulfur,vegetable"
CCOC(=O)C(C)CC,"apple,fruit,green,plum"
CCCC(C)C(=O)OCC,"green,pineapple"
CCOC(=O)C1OC1(C)c2ccccc2,"floral,fruit,strawberry,sweet"
CCc1nccnc1C,"bread,corn,earth,hazelnut,must,nut,peanut,potato,raw,roast,vegetable"
CCSC,"cabbage,chemical,citrus,coffee,earth,fat,fish,floral,fruit,garlic,green,herb,meat,nut,other,pyridine,spice,sulfur,tomato,vegetable,wine,wood"
CCc1scc(C)n1,"green,nut,pistachio"
CCOC(=O)CSC,"alliaceous,apricot,citrus,coffee,earth,ethereal,fat,floral,fruit,garlic,green,herb,meat,nut,onion,other,spice,sweet,vegetable,wine,wood"
CCOC(=O)CCSC,"citrus,fruit,metallic,pineapple,pulpy,ripe,sulfur,tomato"
CCCCCCCCCCCCCC(=O)OCC,"ether,soap,sweet,violet,wax"
CCCCCCCCC(=O)OCC,"fruit,nut,oil,wax"
CCCCCCCC(=O)OCC,"apricot,banana,fat,floral,fruit,pear,pineapple,wax,wine"
CCCCC/C=C/C(=O)OCC,"fat,fruit,green"
CCCC(=O)CC(=O)OCC,"berry,fruit,green,moss,sweat,sweet"
CCCCCCCCCCCCCCCC(=O)OCC,"balsam,cream,fruit,milk,wax"
CCc1ccc(O)cc1,"alcohol,medicine,phenol,smoke,spice"
CCOC(=O)Cc1ccccc1,"anise,apple,apricot,balsam,cherry,chocolate,citrus,floral,fruit,grapefruit,honey,melon,pineapple,raspberry,rose,sweet,wax"
CCOC(=O)C1OC1c2ccccc2,"balsam,caramel,fruit,strawberry"
CCOC(=O)CCc1ccccc1,"ethereal,floral,fruit"
CCOC(=O)CC,"ethereal,fruit,pineapple,rum,sweet"
CCc1cccnc1,"balsam,caramel,citrus,coffee,earth,fat,floral,fruit,green,herb,leather,meat,must,nut,oakmoss,other,peanut,smoke,spice,tobacco,vegetable,wine,wood"
CCOC(=O)C(C)=O,"balsam,caramel,citrus,earth,ether,ethereal,fat,floral,fruit,green,herb,meat,nut,other,rum,sharp,spice,sweet,vegetable,wine,wood"
CCOC(=O)c1ccccc1O,"floral,fruit,mint,sweet,wintergreen"
CCOC(=O)\C=C\C=C\C,"anise,ether,ethereal,fruit,licorice,warm"
CCCCCCCCCCCCCCCCCC(=O)OCC,wax
CCSC(C)=O,"alliaceous,coffee,fruit,garlic,meat,onion,sulfur"
CCOC(=O)C(/C)=C/C,"caramel,fruit,raspberry"
CCCCCCCCCCC(=O)OCC,"coconut,cognac,fruit,soap"
CCCCC(=O)OCC,"apple,fruit,pineapple,sweet,yeast"
CCOc1cc(C=O)ccc1O,"sweet,vanilla"
CCC(=O)C=C,"fish,garlic,mustard,onion,pepper,pungent,spice,vegetable"
CC12CCC(CC1)C(C)(C)O2,"camphor,citrus,eucalyptus,fruit,herb,mint,pepper,spice,sweet,vanilla,wood"
COc1cc(CC=C)ccc1O,"balsam,cinnamic,clove,herb,honey,spice"
COc1cc(CC=C)ccc1OC(C)=O,"balsam,clove,fruit,herb,spice,sweet"
CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,"anise,apricot,balsam,clove,floral,grapefruit,oil,orange,peach,pear"
CC(=O)OC1C(C)(C)[C@@H]2CC[C@@]1(C)C2,"balsam,sweet"
OC(=O)\C=C\C(O)=O,"odorless,sour"
O=CSCc1occc1,"butterscotch,coffee,ethereal,horseradish,nut,sulfur,tropical"
O=Cc1occc1,"almond,bread,sweet,wood"
CC(=O)OCc1occc1,"banana,fruit"
CCCC(=O)OCc1occc1,"fruit,grape,green"
SCc1occc1,"alliaceous,balsam,caramel,chemical,chocolate,coffee,fish,garlic,herb,meat,nut,oil,onion,roast,smoke,sulfur,sweet,vanilla,wax"
CC(C)CC(=O)OCc1occc1,"berry,fruit,grape,plum,ripe"
CSCc1occc1,"alliaceous,coffee,garlic,horseradish,onion,pungent,sulfur,vegetable"
CCCCC(=O)OCc1occc1,"fruit,must"
CCC(=O)OCc1occc1,"floral,fruit,spice"
C(n1cccc1)c2occc2,"earth,green,vegetable"
CCC(=O)SCc1occc1,"alliaceous,coffee,garlic,onion,savory,sulfur"
O=C/C=C/c1occc1,"cinnamic,fruit,grass,green,nut,spice,vanilla,wood"
CC(=O)c1occc1,"almond,balsam,beef,caramel,coffee,must,potato,tobacco"
CCC(=O)\C=C/C,"acid,ethereal,green,metallic,pungent,spice,tropical"
O=C1CCCO1,"caramel,cream,fat,oil,sweet"
OCc1oc(C=O)cc1,"butter,caramel,cardboard,fat,must,wax"
CC(C)=CCC\C(C)=C\CO,"apple,apricot,berry,floral,fruit,geranium,rose,sweet,wood"
CC(=O)OC/C=C(C)/CCC=C(C)C,"floral,fruit,lavandin,rose,sweet"
CCCC(=O)OC/C=C(C)/CCC=C(C)C,"apple,apricot,fruit,rose,sweet"
CC(C)=CCC\C(C)=C\COC=O,"floral,fruit,green,rose,sweet"
CC(C)CC(=O)OCC\C(C)=C\CC=C(C)C,"apple,berry,blueberry,fruit,green,herb,melon,pineapple,rose,vegetable"
CC(C)=CCC/C(C)=C/COC(=O)Cc1ccccc1,"honey,rose"
CCC(=O)OC/C=C(C)/CCC=C(C)C,"floral,fruit,rose,sweet"
NCC(O)=O,"odorless,sweet"
COc1ccccc1O,"medicine,phenol,smoke,spice,sweet,wood"
COc1ccccc1OC(=O)Cc2ccccc2,"balsam,meat,smoke"
CCCCCCC=O,"citrus,fat,fruit,green,herb,nut,oil,rancid,sweet,wine,wood"
CCCCC(=O)C(C)=O,"apple,berry,butter,cheese,fat,fruit,oil,pineapple"
CCCCCCC(O)=O,"cheese,fat,rancid,sour,sweat"
CCCCCC(C)O,"citrus,earth,floral,fresh,fruit,grass,green,herb,lemon,mushroom,oil,sweet"
CCCCC(O)CC,"banana,butter,coffee,herb,meat,mint,powerful,vegetable"
CCCCCC(C)=O,"banana,cheese,cinnamic,fruit,soap,spice"
CCCC(=O)CCC,"apple,banana,cheese,cognac,fat,fruit,nut,peanut,pineapple,strawberry,sweet"
CCCC\C=C\C=O,"almond,apple,fat,fresh,green,lemon,pungent,soap,spice,vegetable"
CC/C=C/CCC=O,"biscuit,butter,cream,fish,green,mint,vegetable"
CCCCCCCOC(C)=O,"apricot,citrus,green,oil,pear,wood"
CCCCCCCO,"apple,apricot,chemical,citrus,coconut,fat,fragrant,fruit,green,meat,must,nut,oil,strawberry,vanilla,vegetable,wood"
CCCCCCCOC(=O)CCC,"fruit,green,sweet"
CCCCCCCOC=O,"apple,fat,fruit,green,plum"
CCCCCCCOC(=O)C(C)C,"apple,apricot,cherry,citrus,floral,fruit,grape,green,herb,oil,orange,peach,pear,pineapple,plum,raspberry,sweet,warm,wood"
CCCCCCCCCCCCCCCCO,"floral,wax"
C/C=C/C=C/C=O,"citrus,floral,green,spice,sweet"
C/C=C/C=C/CO,"almond,apple,fresh,grass,green,herb,sweet"
CCCCCC=O,"fat,fruit,grass,green,leaf,tallow"
CCCC(=O)C(C)=O,"butter,cream,oil,sweet"
CCC(=O)C(=O)CC,"almond,burnt,butter,caramel,coffee,cream,nut,pungent,toasted"
SCCCCCCS,"burnt,fat,meat"
CCCCCC(O)=O,"cheese,fat,goat,limburger cheese,pungent,sour,stench,sweat"
CCCC(O)CC,"alcohol,ether,ethereal,medicine"
CCCC(=O)CC,"earth,ether,ethereal,fruit,grape,rum,sweet,wax,wine"
CCC/C=C/C=O,"almond,apple,fruit,green,mint,plum,sweet,vegetable"
CC\C=C/CC=O,"apple,floral,grape,green,leaf,lilac,orange,pear,pineapple,strawberry,vegetable"
CCC\C=C\C([O-])=O,"fat,fruit,herb,must,powerful,sweet,warm"
CC/C=C/CC(O)=O,"acid,cheese,fruit,honey,powerful"
CCCC(O)C=C,"acid,banana,earth,ethereal,green,meat"
CCC\C=C/CO,"alcohol,almond,apple,chemical,fruit,green,leaf,pepper,trans--hexenol,vegetable,wine"
CCC/C=C/CO,"apple,banana,fat,fruit,green,herb,leaf,mint,orange,raspberry,strawberry,vegetable,walnut,wine"
CC\C=C/CCO,"foliage,fruit,grass,green"
CC/C=C/CCO,"apple,bitter,earth,fat,foliage,fresh,green,moss"
CCC\C=C/COC(C)=O,"apple,banana,fruit,grape,green,herb,peach,pear,pineapple,strawberry,vegetable,wax"
